# LHS sample of 300 points 
#  num overdensity_cond feedback_eff efficiency mass_res fesc
39.0000 418.2411 0.0372 0.0254 6170.6544 0.7555
40.0000 321.5466 0.0178 0.0092 5330.3840 0.0719
41.0000 180.7757 0.0264 0.0084 31497.9420 0.5428
42.0000 27.6536 0.4111 0.0166 2301.6587 0.4802
43.0000 55.2342 0.0053 0.0207 5865.0803 0.1742
44.0000 92.6875 0.0122 0.0091 16951.0181 0.2911
45.0000 166.9174 0.0512 0.0114 81059.0092 0.9743
46.0000 234.6843 0.0378 0.0012 25455.2526 0.3645
47.0000 62.7890 0.2792 0.0058 2542.5536 0.7799
48.0000 76.3748 0.0169 0.0233 16127.2716 0.3848
49.0000 21.3706 0.1064 0.0016 40889.0521 0.8470
50.0000 52.7609 0.0775 0.0095 28748.3914 0.7128
51.0000 149.6555 0.3512 0.0250 1232.2591 0.2045
52.0000 182.4157 0.2461 0.0020 20941.2321 0.8641
53.0000 29.3345 0.2557 0.0054 42250.5783 0.3335
54.0000 43.5665 0.1194 0.0046 4308.0871 0.0845
55.0000 95.1634 0.0114 0.0076 13969.2387 0.0794
56.0000 228.4996 0.0386 0.0220 3203.5693 0.3371
57.0000 28.7781 0.0101 0.0128 10673.7874 0.5512
58.0000 21.9556 0.1298 0.0234 27552.3831 0.6902
59.0000 394.2861 0.0055 0.0016 14080.9630 0.6081
60.0000 93.5038 0.0056 0.0059 23997.0271 0.7748
61.0000 161.4510 0.0063 0.0097 2824.0173 0.1936
62.0000 86.9827 0.0276 0.0130 27072.0092 0.0192
63.0000 84.5774 0.0316 0.0056 4516.1390 0.9265
64.0000 83.3569 0.0092 0.0024 45033.0583 0.8299
65.0000 156.4458 0.0063 0.0021 1170.6071 0.9606
66.0000 54.8320 0.0059 0.0033 99747.5980 0.6142
67.0000 130.7744 0.0553 0.0014 14765.0448 0.9493
68.0000 198.2277 0.0118 0.0029 74543.0933 0.5882
69.0000 38.2533 0.0097 0.0050 21697.3351 0.1315
70.0000 67.2556 0.0080 0.0049 76532.5578 0.1101
71.0000 83.2107 0.1632 0.0050 1207.5946 0.5114
72.0000 294.1005 0.0245 0.0047 10013.9213 0.5376
73.0000 99.1653 0.0891 0.0013 3043.6187 0.0260
74.0000 365.0900 0.0567 0.0044 2696.0825 0.0368
75.0000 43.8970 0.0993 0.0012 1295.4581 0.0201
76.0000 199.3042 0.3011 0.0239 91150.9673 0.3414
77.0000 66.5179 0.0438 0.0057 17892.1448 0.1542
78.0000 35.4315 0.0187 0.0018 8557.1455 0.5268
79.0000 104.6067 0.3747 0.0140 98161.9035 0.3302
80.0000 55.5833 0.3527 0.0022 1825.6158 0.4919
81.0000 41.1927 0.1328 0.0024 3372.1836 0.6174
82.0000 120.6729 0.0721 0.0013 5563.6560 0.6764
83.0000 152.8089 0.2850 0.0068 3556.9631 0.3683
84.0000 121.8966 0.1400 0.0012 54846.7832 0.5969
85.0000 47.1274 0.0290 0.0016 24555.0370 0.9863
86.0000 410.4429 0.4538 0.0015 6565.6010 0.8981
87.0000 139.1304 0.0125 0.0039 12119.0897 0.3071
88.0000 190.0654 0.1096 0.0146 3640.0390 0.5156
89.0000 45.8968 0.0088 0.0030 57358.2140 0.3128
90.0000 211.6884 0.0149 0.0226 92934.5496 0.0481
91.0000 68.9408 0.1026 0.0102 5107.7737 0.7911
92.0000 60.3307 0.0057 0.0023 1337.3675 0.5929
93.0000 27.3515 0.3861 0.0088 3979.1748 0.7057
94.0000 374.4872 0.0118 0.0267 5006.1415 0.6719
95.0000 80.1557 0.2354 0.0042 11215.5879 0.1010
96.0000 176.3304 0.0132 0.0112 68971.7572 0.0986
97.0000 153.9438 0.0209 0.0086 2266.9474 0.6593
98.0000 45.4629 0.0096 0.0027 22758.8629 0.6209
99.0000 473.9488 0.0643 0.0222 12238.6916 0.9385
100.0000 40.0252 0.0077 0.0080 7326.6272 0.3884
101.0000 265.7948 0.0280 0.0011 91443.8355 0.0911
102.0000 339.5665 0.3160 0.0052 9407.4137 0.4140
103.0000 20.0557 0.3127 0.0211 38087.0210 0.7185
104.0000 33.3130 0.3289 0.0096 66389.4257 0.5934
105.0000 243.0920 0.1380 0.0020 4904.1235 0.2244
106.0000 39.3129 0.0628 0.0015 3859.3857 0.6770
107.0000 193.4671 0.0215 0.0038 1146.7948 0.1717
108.0000 305.5198 0.1659 0.0053 2406.8606 0.6976
109.0000 21.1115 0.2709 0.0181 2217.2024 0.7651
110.0000 347.8168 0.0163 0.0256 46821.8699 0.2852
111.0000 113.3824 0.0603 0.0092 49428.3771 0.6629
112.0000 21.7831 0.0380 0.0017 9278.8727 0.6646
113.0000 26.0224 0.0052 0.0028 2347.2965 0.3595
114.0000 32.7356 0.0104 0.0203 4633.7915 0.8180
115.0000 117.5417 0.3103 0.0011 1194.9866 0.6381
116.0000 298.7212 0.0617 0.0179 1567.2431 0.5097
117.0000 345.7110 0.2525 0.0011 63339.9009 0.7864
118.0000 379.5587 0.0519 0.0023 1122.2561 0.4689
119.0000 36.6728 0.0344 0.0014 34899.9563 0.1264
120.0000 147.8980 0.0968 0.0077 1442.2758 0.4359
121.0000 471.7722 0.2302 0.0036 94194.4917 0.6461
122.0000 36.9350 0.2602 0.0022 48199.8842 0.8318
123.0000 290.7153 0.4605 0.0051 1311.9171 0.0618
124.0000 216.3549 0.1083 0.0176 6495.5823 0.5438
125.0000 118.9771 0.0914 0.0034 13240.2392 0.3802
126.0000 206.7594 0.1994 0.0072 7460.9044 0.5833
127.0000 51.3231 0.0164 0.0025 2232.5716 0.9115
128.0000 173.1457 0.0496 0.0055 12917.4851 0.9723
129.0000 36.0697 0.1959 0.0024 18684.6372 0.6899
130.0000 56.6398 0.0070 0.0173 58649.9982 0.1668
131.0000 74.3998 0.0137 0.0212 5936.4394 0.8453
132.0000 180.2033 0.4674 0.0281 4021.9365 0.7596
133.0000 135.6954 0.2753 0.0011 18394.8190 0.4069
134.0000 300.0373 0.2167 0.0033 5027.6926 0.6348
135.0000 91.6097 0.0463 0.0030 35401.5257 0.6507
136.0000 125.6508 0.0130 0.0045 6775.8532 0.3020
137.0000 112.4046 0.0229 0.0088 2006.6200 0.7070
138.0000 42.6484 0.4798 0.0107 26054.2907 0.1056
139.0000 85.4728 0.0116 0.0035 2151.8053 0.0414
140.0000 81.0200 0.0737 0.0018 4748.4767 0.5476
141.0000 164.6276 0.0286 0.0012 18990.9707 0.4198
142.0000 63.7759 0.1003 0.0072 46099.9767 0.5560
143.0000 109.6710 0.2698 0.0241 17203.4068 0.2671
144.0000 31.0688 0.0076 0.0069 1021.2107 0.3922
145.0000 23.2077 0.0152 0.0039 52305.6890 0.5651
146.0000 224.3459 0.0307 0.0134 44733.0632 0.0661
147.0000 232.2012 0.2657 0.0175 13713.9652 0.3276
148.0000 90.0702 0.0067 0.0094 25879.7667 0.6023
149.0000 250.1149 0.2951 0.0011 38683.6147 0.8797
150.0000 29.4586 0.1166 0.0032 1064.1004 0.9098
151.0000 458.6431 0.0693 0.0018 75218.6196 0.1902
152.0000 159.6916 0.0085 0.0300 37073.1063 0.6849
153.0000 29.9592 0.0159 0.0013 50264.7946 0.1605
154.0000 50.6221 0.1449 0.0280 62406.2796 0.0090
155.0000 41.8746 0.0749 0.0158 82733.0152 0.1385
156.0000 327.4402 0.3372 0.0062 8838.1934 0.8420
157.0000 74.8807 0.3249 0.0133 37727.8030 0.6670
158.0000 40.2600 0.0079 0.0023 5414.7625 0.5349
159.0000 483.9560 0.0434 0.0014 1663.7361 0.0442
160.0000 47.3753 0.0349 0.0149 6995.4517 0.9412
161.0000 20.6945 0.0054 0.0109 3708.3982 0.4544
162.0000 26.9460 0.3582 0.0017 15444.8727 0.4594
163.0000 68.5656 0.0803 0.0024 8926.6433 0.2831
164.0000 261.2236 0.0072 0.0138 1491.6283 0.7403
165.0000 287.2975 0.0442 0.0022 1370.4620 0.8600
166.0000 102.6522 0.0146 0.0128 5600.4993 0.1511
167.0000 43.0504 0.0191 0.0082 4231.9303 0.4894
168.0000 273.4507 0.0261 0.0053 86552.2373 0.7213
169.0000 313.9756 0.0685 0.0144 26640.5627 0.4518
170.0000 440.0726 0.0204 0.0021 9948.2821 0.2207
171.0000 371.7709 0.0663 0.0019 20885.2943 0.0156
172.0000 60.8401 0.0340 0.0014 11423.6414 0.2635
173.0000 49.6518 0.0530 0.0079 14669.7960 0.9591
174.0000 278.3991 0.3447 0.0132 5671.3158 0.7311
175.0000 21.0804 0.0136 0.0153 89779.6960 0.7028
176.0000 426.2843 0.0076 0.0037 11626.6932 0.4941
177.0000 34.6384 0.0862 0.0045 7797.6949 0.1297
178.0000 24.6521 0.0081 0.0015 47702.6379 0.0054
179.0000 24.4773 0.0090 0.0201 3140.3234 0.5675
180.0000 129.1821 0.0874 0.0121 1384.0187 0.7499
181.0000 37.3737 0.0296 0.0067 64473.0816 0.8841
182.0000 133.3744 0.2190 0.0215 1603.3853 0.8892
183.0000 213.8268 0.2411 0.0087 23595.7240 0.0667
184.0000 383.5279 0.0120 0.0035 1155.8113 0.5322
185.0000 22.6313 0.0142 0.0028 34004.8125 0.6326
186.0000 316.6013 0.0251 0.0192 60223.1122 0.2022
187.0000 137.2525 0.1215 0.0206 3918.7502 0.8923
188.0000 274.1852 0.1607 0.0054 4050.9567 0.4846
189.0000 140.1629 0.0198 0.0099 4786.7997 0.2554
190.0000 334.9879 0.0481 0.0162 55214.6513 0.0106
191.0000 56.4613 0.0127 0.0010 1264.8266 0.2961
192.0000 220.7204 0.0477 0.0040 36170.2869 0.9357
193.0000 169.7596 0.0535 0.0102 44205.4664 0.9814
194.0000 63.0842 0.0109 0.0013 4460.6174 0.1207
195.0000 122.6410 0.0450 0.0071 1816.0146 0.9457
196.0000 465.4495 0.0583 0.0044 30783.8709 0.3483
197.0000 462.1432 0.3693 0.0028 4688.0617 0.9886
198.0000 32.1075 0.0541 0.0010 15167.1631 0.0890
199.0000 113.9922 0.1598 0.0259 1692.7830 0.6240
200.0000 73.4479 0.0490 0.0106 36784.8122 0.6274
201.0000 356.2407 0.0417 0.0034 2104.4445 0.7297
202.0000 49.8378 0.4962 0.0051 7130.4409 0.5233
203.0000 39.3780 0.0500 0.0011 65791.9091 0.7501
204.0000 44.8219 0.0212 0.0038 49199.2510 0.3755
205.0000 30.9342 0.1285 0.0076 8219.0816 0.4630
206.0000 115.6242 0.0219 0.0029 2187.2468 0.1578
207.0000 20.5870 0.0460 0.0049 60290.5327 0.4488
208.0000 282.6353 0.2279 0.0027 8999.9050 0.9303
209.0000 252.2278 0.0184 0.0098 2712.3842 0.8003
210.0000 268.9000 0.4913 0.0025 70360.9467 0.2503
211.0000 59.5704 0.0068 0.0083 32035.3739 0.8549
212.0000 218.4697 0.0325 0.0040 39767.4404 0.6050
213.0000 24.9205 0.0064 0.0119 2920.2327 0.1650
214.0000 424.2114 0.0329 0.0126 1406.9044 0.2413
215.0000 38.6215 0.0179 0.0294 1002.5903 0.7686
216.0000 69.8486 0.4411 0.0019 21526.2163 0.2281
217.0000 367.5427 0.0066 0.0017 12690.1382 0.7353
218.0000 207.4345 0.3845 0.0043 1062.3510 0.9637
219.0000 258.5955 0.0634 0.0224 78583.0283 0.5230
220.0000 430.5695 0.0093 0.0291 2044.0658 0.7460
221.0000 31.4085 0.3059 0.0028 53959.0730 0.0805
222.0000 78.6079 0.0942 0.0035 29316.6633 0.3438
223.0000 58.6884 0.0182 0.0161 58240.7982 0.0500
224.0000 53.3324 0.0300 0.0120 4125.6809 0.8757
225.0000 46.5219 0.0851 0.0025 72769.3433 0.8232
226.0000 485.0141 0.0149 0.0027 6620.9629 0.3150
227.0000 406.2998 0.0600 0.0151 3611.8926 0.8135
228.0000 52.1545 0.3624 0.0218 2458.2522 0.7252
229.0000 163.1909 0.0112 0.0124 1876.6689 0.4229
230.0000 386.9904 0.0108 0.0264 1033.1759 0.9939
231.0000 37.6892 0.0060 0.0245 4375.3041 0.3238
232.0000 145.2729 0.1831 0.0043 8134.3038 0.4777
233.0000 146.4425 0.0734 0.0184 9212.8998 0.0358
234.0000 71.5768 0.0655 0.0010 69376.0725 0.1333
235.0000 23.4639 0.4030 0.0067 6352.4476 0.7727
236.0000 396.1713 0.0269 0.0021 12492.6856 0.4267
237.0000 284.7618 0.0394 0.0115 10371.7624 0.3210
238.0000 223.4359 0.0061 0.0230 6834.1264 0.8377
239.0000 61.6404 0.0099 0.0026 15823.1393 0.2495
240.0000 35.1968 0.0172 0.0043 87805.7529 0.5189
241.0000 28.0656 0.0303 0.0287 1637.5626 0.9797
242.0000 24.0831 0.0249 0.0030 33014.9149 0.3559
243.0000 98.0127 0.0563 0.0148 3228.6869 0.4989
244.0000 116.3893 0.0413 0.0062 5794.7044 0.4454
245.0000 246.8251 0.1479 0.0022 3090.5007 0.4431
246.0000 28.4255 0.1874 0.0011 3745.7798 0.5613
247.0000 94.2552 0.1437 0.0033 67344.3552 0.8121
248.0000 57.8379 0.1918 0.0059 95928.2898 0.1498
249.0000 42.2798 0.2042 0.0032 2983.3976 0.8946
250.0000 66.2922 0.2064 0.0250 1737.9108 0.4333
251.0000 106.6611 0.0676 0.0020 10198.3097 0.1436
252.0000 22.3143 0.0235 0.0167 4297.7307 0.0542
253.0000 108.3641 0.0195 0.0100 3487.8637 0.2127
254.0000 340.5657 0.2145 0.0199 2795.4604 0.4266
255.0000 168.3276 0.1116 0.0018 1717.8640 0.7897
256.0000 78.0010 0.4478 0.0060 2561.8819 0.8701
257.0000 23.9763 0.0054 0.0191 1858.3604 0.1188
258.0000 105.9457 0.1365 0.0064 1112.5484 0.0009
259.0000 201.0598 0.4185 0.0185 7684.3560 0.9162
260.0000 177.9221 0.0932 0.0104 23885.9166 0.8685
261.0000 240.3915 0.0959 0.0015 1632.5029 0.1875
262.0000 28.9224 0.0274 0.0073 2882.7073 0.2574
263.0000 204.6884 0.1160 0.0244 84384.8205 0.0955
264.0000 452.8821 0.2236 0.0012 1250.1443 0.3953
265.0000 70.1898 0.1575 0.0011 1930.6827 0.6947
266.0000 31.8069 0.3925 0.0164 30653.5987 0.5001
267.0000 20.3573 0.0070 0.0042 14412.0566 0.2456
268.0000 22.0462 0.0072 0.0089 71380.2972 0.2328
269.0000 195.1131 0.4344 0.0142 15124.8609 0.7601
270.0000 100.6908 0.1248 0.0194 85570.2087 0.4051
271.0000 236.5868 0.0083 0.0019 2366.8792 0.5762
272.0000 26.4220 0.0051 0.0046 40347.0519 0.1405
273.0000 89.4583 0.0156 0.0016 20494.9702 0.8245
274.0000 130.5748 0.0358 0.0056 8056.0821 0.8094
275.0000 25.2188 0.1807 0.0170 21999.8332 0.3703
276.0000 263.9147 0.0255 0.0036 1460.2202 0.0583
277.0000 81.9682 0.0404 0.0021 2617.5468 0.9503
278.0000 127.3133 0.0841 0.0070 18111.4688 0.6557
279.0000 71.9689 0.0086 0.0111 2648.9070 0.5573
280.0000 26.6259 0.3314 0.0026 3281.2702 0.7166
281.0000 48.1958 0.1041 0.0016 3459.5041 0.9678
282.0000 110.2205 0.0242 0.0155 16445.8034 0.2756
283.0000 88.0296 0.0812 0.0112 7847.7664 0.6426
284.0000 227.8405 0.1980 0.0019 2081.0927 0.3174
285.0000 125.0387 0.0312 0.0081 43428.6962 0.0763
286.0000 310.2270 0.1551 0.0117 51569.6752 0.8831
287.0000 51.9203 0.0332 0.0013 61459.0330 0.7828
288.0000 444.5931 0.1057 0.0047 1341.1417 0.2193
289.0000 64.6794 0.0579 0.0037 5210.8600 0.2601
290.0000 79.4591 0.1714 0.0011 34148.2887 0.9998
291.0000 172.4194 0.0206 0.0137 2947.3771 0.2972
292.0000 415.3752 0.1260 0.0075 42349.1197 0.9024
293.0000 97.7485 0.0398 0.0014 27302.0781 0.4764
294.0000 190.5706 0.0057 0.0196 56460.1179 0.1971
295.0000 143.7678 0.0074 0.0275 1523.5601 0.5703
296.0000 403.2341 0.0143 0.0038 11909.2255 0.4710
297.0000 48.4867 0.1855 0.0143 13007.8549 0.3621
298.0000 493.6055 0.1143 0.0026 1546.9426 0.9038
299.0000 324.9431 0.0068 0.0187 10840.0552 0.9558
